cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
poa,1,0,LGBMRegressor,6,25.85346249370858,0
jaboatao-dos-guararapes,1,0,LGBMRegressor,6,23.6529571377378,0
juazeiro,1,0,LGBMRegressor,6,27.047280864927522,0
itacoatiara,1,0,LGBMRegressor,6,2203.7072398223845,0
limeira,1,0,LGBMRegressor,6,30.585896414375824,0
itajai,1,0,LGBMRegressor,6,25.839764623554267,0
marituba,1,0,LGBMRegressor,6,28.050844725050684,0
blumenau,1,0,LGBMRegressor,6,26.315529979548028,0
caucaia,1,0,LGBMRegressor,6,13672.70860448891,0
angra-dos-reis,1,0,LGBMRegressor,6,25.91807558948986,0
barcarena,1,0,LGBMRegressor,6,43835.858586336835,0
ribeirao-pires,1,0,LGBMRegressor,6,366.781785790383,0
sao-bernardo-do-campo,1,0,LGBMRegressor,6,359896.90696089226,0
arapiraca,1,0,LGBMRegressor,6,212.76112191955775,0
passos,1,0,LGBMRegressor,6,2500.852584930904,0
paulo-afonso,1,0,LGBMRegressor,6,27702.79627274221,0
rondonopolis,1,0,LGBMRegressor,6,914.9453052316574,0
ituiutaba,1,0,LGBMRegressor,6,1103.2685277707499,0
barueri,1,0,LGBMRegressor,6,2074.1520524150496,0
lagarto,1,0,LGBMRegressor,6,4884.00584810857,0
mage,1,0,LGBMRegressor,6,67.44073526414128,0
sertaozinho,1,0,LGBMRegressor,6,131766.93438235216,0
vespasiano,1,0,LGBMRegressor,6,357.95236366886417,0
santos,1,0,LGBMRegressor,6,109.4116854194772,0
campo-largo,1,0,LGBMRegressor,6,26.252372084811185,0
barretos,1,0,LGBMRegressor,6,795.4082938622992,0
pelotas,1,0,LGBMRegressor,6,25.78600091736802,0
caruaru,1,0,LGBMRegressor,6,3339.6449488139374,0
sao-goncalo,1,0,LGBMRegressor,6,91.66848417955828,0
abreu-e-lima,1,0,LGBMRegressor,6,26.749190072383897,0
rio-claro,1,0,LGBMRegressor,6,27.146644462442065,0
pinhais,1,0,LGBMRegressor,6,39.2415022892774,0
macae,1,0,LGBMRegressor,6,23.445305745205577,0
mossoro,1,0,LGBMRegressor,6,26.770242703962843,0
sumare,1,0,LGBMRegressor,6,235.1411053721201,0
eunapolis,1,0,LGBMRegressor,6,23.90894266712353,0
araguari,1,0,LGBMRegressor,6,1838.3509805153403,0
tailandia,1,0,LGBMRegressor,6,6750.129181846522,0
palhoca,1,0,LGBMRegressor,6,41.95039595690623,0
petrolina,1,0,LGBMRegressor,6,249265.9602187242,0
niteroi,1,0,LGBMRegressor,6,34.02905200228321,0
marica,1,0,LGBMRegressor,6,23.87522340716939,0
sobral,1,0,LGBMRegressor,6,7963887.873897548,0
vilhena,1,0,LGBMRegressor,6,27.047280864927522,0
araxa,1,0,LGBMRegressor,6,740620.2722766437,0
leme,1,0,LGBMRegressor,6,26579.852696138834,0
florianopolis,1,0,LGBMRegressor,6,22.767938270925477,0
formosa,1,0,LGBMRegressor,6,3000.2631316742004,0
ariquemes,1,0,LGBMRegressor,6,19.55742984447055,0
anapolis,1,0,LGBMRegressor,6,25.54757339139083,0
paragominas,1,0,LGBMRegressor,6,25.576474038933394,0
botucatu,1,0,LGBMRegressor,6,550490.49023228,0
almirante-tamandare,1,0,LGBMRegressor,6,26.7491900723839,0
pocos-de-caldas,1,0,LGBMRegressor,6,22.60206282823573,0
brusque,1,0,LGBMRegressor,6,1946.7333191792563,0
barra-do-pirai,1,0,LGBMRegressor,6,28.85101956329261,0
juazeiro-do-norte,1,0,LGBMRegressor,6,26.472151911419218,0
teresina,1,0,LGBMRegressor,6,19166.00951326928,0
teofilo-otoni,1,0,LGBMRegressor,6,23.896455794318847,0
joinville,1,0,LGBMRegressor,6,397.59628345490347,0
erechim,1,0,LGBMRegressor,6,92.18206850131486,0
coronel-fabriciano,1,0,LGBMRegressor,6,12682.510470869032,0
sao-jose-dos-campos,1,0,LGBMRegressor,6,25.23502237292824,0
parintins,1,0,LGBMRegressor,6,88.50172958572,0
fortaleza,1,0,LGBMRegressor,6,389731.3436674894,0
piracicaba,1,0,LGBMRegressor,6,408906.9034874773,0
ji-parana,1,0,LGBMRegressor,6,26.550462877354814,0
ferraz-de-vasconcelos,1,0,LGBMRegressor,6,25.36796697048932,0
palmas,1,0,LGBMRegressor,6,28.27172322561393,0
maranguape,1,0,LGBMRegressor,6,5221.339582889841,0
montes-claros,1,0,LGBMRegressor,6,4013.9783441317904,0
votorantim,1,0,LGBMRegressor,6,1995.525106582012,0
marilia,1,0,LGBMRegressor,6,27.42345289686654,0
castanhal,1,0,LGBMRegressor,6,16262.62245270904,0
governador-valadares,1,0,LGBMRegressor,6,24.454573818730864,0
curitiba,1,0,LGBMRegressor,6,2063.6661318031042,0
uba,1,0,LGBMRegressor,6,19329.408982468176,0
igarassu,1,0,LGBMRegressor,6,40.38538345813427,0
itaguai,1,0,LGBMRegressor,6,29.353544449253356,0
sabara,1,0,LGBMRegressor,6,25.48441549665399,0
cotia,1,0,LGBMRegressor,6,25.06061185689784,0
altamira,1,0,LGBMRegressor,6,26.57151550893376,0
camacari,1,0,LGBMRegressor,6,344.6878526333418,0
cubatao,1,0,LGBMRegressor,6,25.60483172574748,0
itaituba,1,0,LGBMRegressor,6,25.211213639936606,0
luziania,1,0,LGBMRegressor,6,671736.2872222927,0
cabo-frio,1,0,LGBMRegressor,6,302.0294010395392,0
conselheiro-lafaiete,1,0,LGBMRegressor,6,769.6727136799676,0
crato,1,0,LGBMRegressor,6,19.340075039352115,0
paco-do-lumiar,1,0,LGBMRegressor,6,611.2702095230244,0
araucaria,1,0,LGBMRegressor,6,26.74919007238389,0
suzano,1,0,LGBMRegressor,6,128.34430313422212,0
diadema,1,0,LGBMRegressor,6,325.85406022005714,0
tres-lagoas,1,0,LGBMRegressor,6,32.065851522613286,0
camaragibe,1,0,LGBMRegressor,6,135.56849218207253,0
dourados,1,0,LGBMRegressor,6,10436.87544162046,0
cascavel,1,0,LGBMRegressor,6,7481.530175938875,0
passo-fundo,1,0,LGBMRegressor,6,431.0601415947432,0
sao-joao-de-meriti,1,0,LGBMRegressor,6,26.14839962122191,0
santa-luzia,1,0,LGBMRegressor,6,26.869606301477383,0
ponta-grossa,1,0,LGBMRegressor,6,143.09315690035254,0
cameta,1,0,LGBMRegressor,6,26.649826474869357,0
contagem,1,0,LGBMRegressor,6,22200.640400161887,0
parauapebas,1,0,LGBMRegressor,6,23.408082977068155,0
bage,1,0,LGBMRegressor,6,17.211218733172085,0
campo-grande,1,0,LGBMRegressor,6,2631.990090839579,0
vitoria,1,0,LGBMRegressor,6,12255.143554556189,0
vitoria-de-santo-antao,1,0,LGBMRegressor,6,111219.85661525882,0
jatai,1,0,LGBMRegressor,6,5532.54287659362,0
iguatu,1,0,LGBMRegressor,6,1195.969147246384,0
guaruja,1,0,LGBMRegressor,6,167.68939469808453,0
alvorada,1,0,LGBMRegressor,6,158.78919441583676,0
timon,1,0,LGBMRegressor,6,183453.67303105735,0
criciuma,1,0,LGBMRegressor,6,468.65724491034183,0
ananindeua,1,0,LGBMRegressor,6,26.749190072383897,0
lages,1,0,LGBMRegressor,6,849.7574670135976,0
salvador,1,0,LGBMRegressor,6,26.84855366989844,0
hortolandia,1,0,LGBMRegressor,6,2611.4396675189255,0
porto-velho,1,0,LGBMRegressor,6,47.3046686164236,0
carapicuiba,1,0,LGBMRegressor,6,25017.760491849178,0
santa-barbara-doeste,1,0,LGBMRegressor,6,1002.3199395923263,0
sao-felix-do-xingu,1,0,LGBMRegressor,6,39656.453501845055,0
bento-goncalves,1,0,LGBMRegressor,6,971.3598906610569,0
ribeirao-preto,1,0,LGBMRegressor,6,1050.1597291634437,0
sao-paulo,1,0,LGBMRegressor,6,70.8207809008886,0
balneario-camboriu,1,0,LGBMRegressor,6,19.697282024149924,0
valparaiso-de-goias,1,0,LGBMRegressor,6,56.40203168645624,0
guarapari,1,0,LGBMRegressor,6,867.8126499235902,0
varzea-paulista,1,0,LGBMRegressor,6,157.79633512020058,0
juiz-de-fora,1,0,LGBMRegressor,6,23.700737014842918,0
rio-branco,1,0,LGBMRegressor,6,94.79373428151943,0
tangara-da-serra,1,0,LGBMRegressor,6,25.882562731991943,0
sao-jose,1,0,LGBMRegressor,6,24.09587074139223,0
porto-alegre,1,0,LGBMRegressor,6,20.787615398415824,0
rio-grande,1,0,LGBMRegressor,6,25.506227112061577,0
macapa,1,0,LGBMRegressor,6,261.5559108353228,0
belo-horizonte,1,0,LGBMRegressor,6,24.189334778526575,0
ibirite,1,0,LGBMRegressor,6,186.6282293783577,0
itapevi,1,0,LGBMRegressor,6,24.479583343009338,0
barbacena,1,0,LGBMRegressor,6,23.128499206161646,0
santo-antonio-de-jesus,1,0,LGBMRegressor,6,25.797659360396374,0
araguaina,1,0,LGBMRegressor,6,51.3383735485759,0
ilheus,1,0,LGBMRegressor,6,27.467440346226798,0
araraquara,1,0,LGBMRegressor,6,18.170622358654082,0
arapongas,1,0,LGBMRegressor,6,1799.3328929361137,0
jacarei,1,0,LGBMRegressor,6,24.773717242853444,0
rio-das-ostras,1,0,LGBMRegressor,6,144.46564012443545,0
cambe,1,0,LGBMRegressor,6,145.30343125674702,0
caxias,1,0,LGBMRegressor,6,22.90859879110138,0
parnaiba,1,0,LGBMRegressor,6,24.529530834228094,0
maracanau,1,0,LGBMRegressor,6,24.900033032327126,0
alagoinhas,1,0,LGBMRegressor,6,6877.9487649019575,0
santana-de-parnaiba,1,0,LGBMRegressor,6,1293.4986496124109,0
colatina,1,0,LGBMRegressor,6,84.62336051953437,0
jequie,1,0,LGBMRegressor,6,27.233220266023608,0
taboao-da-serra,1,0,LGBMRegressor,6,66774.97103985764,0
sao-caetano-do-sul,1,0,LGBMRegressor,6,20853.07413901687,0
itapetininga,1,0,LGBMRegressor,6,58.78488663992378,0
belford-roxo,1,0,LGBMRegressor,6,631.5470712838976,0
divinopolis,1,0,LGBMRegressor,6,31039.99793467505,0
osasco,1,0,LGBMRegressor,6,4341.008309478982,0
braganca-paulista,1,0,LGBMRegressor,6,318.77102861300386,0
joao-pessoa,1,0,LGBMRegressor,6,26.94791726741298,0
londrina,1,0,LGBMRegressor,6,32.96546240424785,0
santa-cruz-do-capibaribe,1,0,LGBMRegressor,6,77.32346165428163,0
catanduva,1,0,LGBMRegressor,6,3882.977925065054,0
olinda,1,0,LGBMRegressor,6,1090.8811633665034,0
assis,1,0,LGBMRegressor,6,6346.820016126847,0
itaborai,1,0,LGBMRegressor,6,163418.81867197205,0
birigui,1,0,LGBMRegressor,6,3188.1211474546867,0
itabira,1,0,LGBMRegressor,6,33.87671469482423,0
rio-verde,1,0,LGBMRegressor,6,113.32068200366028,0
abaetetuba,1,0,LGBMRegressor,6,6249.482114503576,0
sao-jose-dos-pinhais,1,0,LGBMRegressor,6,23.44840331844089,0
rio-de-janeiro,1,0,LGBMRegressor,6,24.382162413175468,0
uruguaiana,1,0,LGBMRegressor,6,205.27706411405302,0
catalao,1,0,LGBMRegressor,6,23.258856698117995,0
ourinhos,1,0,LGBMRegressor,6,19.189629643026485,0
uberlandia,1,0,LGBMRegressor,6,19.138922822833436,0
pouso-alegre,1,0,LGBMRegressor,6,87.83365526615516,0
serra,1,0,LGBMRegressor,6,4256.641486472275,0
teixeira-de-freitas,1,0,LGBMRegressor,6,41595.23773624316,0
sao-mateus,1,0,LGBMRegressor,6,26.41489357706257,0
bacabal,1,0,LGBMRegressor,6,137.09514726036235,0
mesquita,1,0,LGBMRegressor,6,26.351735682325728,0
novo-gama,1,0,LGBMRegressor,6,24.374440773566832,0
acailandia,1,0,LGBMRegressor,6,3922.5087186819524,0
itaquaquecetuba,1,0,LGBMRegressor,6,55931.31868068922,0
campinas,1,0,LGBMRegressor,6,660.3187896547227,0
sete-lagoas,1,0,LGBMRegressor,6,1704.6972684161976,0
sao-jose-de-ribamar,1,0,LGBMRegressor,6,12268.142189370257,0
nova-iguacu,1,0,LGBMRegressor,6,25.20147777530912,0
santa-maria,1,0,LGBMRegressor,6,25.314216821463997,0
sao-luis,1,0,LGBMRegressor,6,973.0727594734374,0
queimados,1,0,LGBMRegressor,6,25.839764623554263,0
jau,1,0,LGBMRegressor,6,23.680717670193477,0
franca,1,0,LGBMRegressor,6,12595.425424797124,0
taubate,1,0,LGBMRegressor,6,1782.101644842679,0
sao-jose-do-rio-preto,1,0,LGBMRegressor,6,25.442310233496094,0
jundiai,1,0,LGBMRegressor,6,240.12950827618744,0
bauru,1,0,LGBMRegressor,6,141.44529090034752,0
atibaia,1,0,LGBMRegressor,6,490.91630356974076,0
volta-redonda,1,0,LGBMRegressor,6,24.285704673545528,0
sao-vicente,1,0,LGBMRegressor,6,25.797659360396374,0
senador-canedo,1,0,LGBMRegressor,6,5576.0291576808695,0
indaiatuba,1,0,LGBMRegressor,6,26.68118213466786,0
itabuna,1,0,LGBMRegressor,6,2853.045489275545,0
petropolis,1,0,LGBMRegressor,6,120.97843881866575,0
salto,1,0,LGBMRegressor,6,25.58042514373017,0
cuiaba,1,0,LGBMRegressor,6,19.65251056259796,0
santa-cruz-do-sul,1,0,LGBMRegressor,6,375.89909671653805,0
patos,1,0,LGBMRegressor,6,26.41489357706257,0
francisco-morato,1,0,LGBMRegressor,6,1287.51063250644,0
japeri,1,0,LGBMRegressor,6,24.6743536453389,0
nilopolis,1,0,LGBMRegressor,6,19007.051495977386,0
pindamonhangaba,1,0,LGBMRegressor,6,565.4369683000521,0
itaperuna,1,0,LGBMRegressor,6,290.68444403285804,0
itu,1,0,LGBMRegressor,6,76.56295176096279,0
natal,1,0,LGBMRegressor,6,27.146644462442065,0
sapucaia-do-sul,1,0,LGBMRegressor,6,2815.4783245615004,0
