cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
poa,1,0,LinearSVR,6,48.96726479750452,7
jaboatao-dos-guararapes,1,0,LinearSVR,6,40.41678767488725,7
juazeiro,1,0,LinearSVR,6,41.308427114581164,7
itacoatiara,1,0,LinearSVR,6,2423.534546581241,7
limeira,1,0,LinearSVR,6,56.14068461352477,7
itajai,1,0,LinearSVR,6,42.074741487616386,7
marituba,1,0,LinearSVR,6,79.86402048578526,7
blumenau,1,0,LinearSVR,6,40.63716810857877,7
caucaia,1,0,LinearSVR,6,12538.97284004714,7
angra-dos-reis,1,0,LinearSVR,6,42.39502321360492,7
barcarena,1,0,LinearSVR,6,47457.94957414575,7
ribeirao-pires,1,0,LinearSVR,6,271.32246537433974,7
sao-bernardo-do-campo,1,0,LinearSVR,6,321954.4982238839,7
arapiraca,1,0,LinearSVR,6,149.1508839964115,7
passos,1,0,LinearSVR,6,5541.521607613957,7
paulo-afonso,1,0,LinearSVR,6,25159.951023996407,7
rondonopolis,1,0,LinearSVR,6,3260.4432905239514,7
ituiutaba,1,0,LinearSVR,6,1136.5916004331646,7
barueri,1,0,LinearSVR,6,1841.4180550620167,7
lagarto,1,0,LinearSVR,6,12283.73511173503,7
mage,1,0,LinearSVR,6,57.26046187871305,7
sertaozinho,1,0,LinearSVR,6,139062.74522153955,7
vespasiano,1,0,LinearSVR,6,251.621125466501,7
santos,1,0,LinearSVR,6,309.08685089674486,7
campo-largo,1,0,LinearSVR,6,41.725384396992254,7
barretos,1,0,LinearSVR,6,636.1502283557238,7
pelotas,1,0,LinearSVR,6,71.28043523616043,7
caruaru,1,0,LinearSVR,6,3003.37944316946,7
sao-goncalo,1,0,LinearSVR,6,150.37567818182384,7
abreu-e-lima,1,0,LinearSVR,6,41.55031983500674,7
rio-claro,1,0,LinearSVR,6,41.6173051758189,7
pinhais,1,0,LinearSVR,6,40.2271004871923,7
macae,1,0,LinearSVR,6,49.51324877024121,7
mossoro,1,0,LinearSVR,6,41.411713424164475,7
sumare,1,0,LinearSVR,6,163.89125406860552,7
eunapolis,1,0,LinearSVR,6,45.09354690390611,7
araguari,1,0,LinearSVR,6,1788.3441718939057,7
tailandia,1,0,LinearSVR,6,8432.517694846754,7
palhoca,1,0,LinearSVR,6,46.536510945528384,7
petrolina,1,0,LinearSVR,6,215738.45402049238,7
niteroi,1,0,LinearSVR,6,96.32998395894418,7
marica,1,0,LinearSVR,6,61.04737148921593,7
sobral,1,0,LinearSVR,6,7263938.599385084,7
vilhena,1,0,LinearSVR,6,41.567485301407864,7
araxa,1,0,LinearSVR,6,795678.4587626418,7
leme,1,0,LinearSVR,6,24029.51429292402,7
florianopolis,1,0,LinearSVR,6,38.80479553441918,7
formosa,1,0,LinearSVR,6,10444.721196250233,7
ariquemes,1,0,LinearSVR,6,36.35664844720186,7
anapolis,1,0,LinearSVR,6,40.87073621658566,7
paragominas,1,0,LinearSVR,6,48.576336288002075,7
botucatu,1,0,LinearSVR,6,424998.9725368473,7
almirante-tamandare,1,0,LinearSVR,6,42.92016250040168,7
pocos-de-caldas,1,0,LinearSVR,6,41.60858823722286,7
brusque,1,0,LinearSVR,6,4119.03951182342,7
barra-do-pirai,1,0,LinearSVR,6,48.510057723461124,7
juazeiro-do-norte,1,0,LinearSVR,6,42.40796674507368,7
teresina,1,0,LinearSVR,6,21158.627925524517,7
teofilo-otoni,1,0,LinearSVR,6,36.71313290761557,7
joinville,1,0,LinearSVR,6,544.1576265455122,7
erechim,1,0,LinearSVR,6,135.2179349273468,7
coronel-fabriciano,1,0,LinearSVR,6,7763.072066317919,7
sao-jose-dos-campos,1,0,LinearSVR,6,43.81954343264556,7
parintins,1,0,LinearSVR,6,188.15593728419944,7
fortaleza,1,0,LinearSVR,6,343146.76399593335,7
piracicaba,1,0,LinearSVR,6,382077.05901427317,7
ji-parana,1,0,LinearSVR,6,41.574263712084914,7
ferraz-de-vasconcelos,1,0,LinearSVR,6,45.4036858788448,7
palmas,1,0,LinearSVR,6,40.16367271865139,7
maranguape,1,0,LinearSVR,6,4671.324039406001,7
montes-claros,1,0,LinearSVR,6,3544.4448129303414,7
votorantim,1,0,LinearSVR,6,2832.9619736140394,7
marilia,1,0,LinearSVR,6,59.567391916191525,7
castanhal,1,0,LinearSVR,6,9133.898306243571,7
governador-valadares,1,0,LinearSVR,6,42.544542286546296,7
curitiba,1,0,LinearSVR,6,2019.8191798780329,7
uba,1,0,LinearSVR,6,15291.133137568537,7
igarassu,1,0,LinearSVR,6,81.32046424410096,7
itaguai,1,0,LinearSVR,6,38.32054706991044,7
sabara,1,0,LinearSVR,6,41.07580646980125,7
cotia,1,0,LinearSVR,6,39.9039464049731,7
altamira,1,0,LinearSVR,6,41.64781254845761,7
camacari,1,0,LinearSVR,6,268.8743427103878,7
cubatao,1,0,LinearSVR,6,40.896412582797,7
itaituba,1,0,LinearSVR,6,40.189327270497095,7
luziania,1,0,LinearSVR,6,575127.3650673516,7
cabo-frio,1,0,LinearSVR,6,375.3430745663143,7
conselheiro-lafaiete,1,0,LinearSVR,6,1104.520326860372,7
crato,1,0,LinearSVR,6,41.57795622426738,7
paco-do-lumiar,1,0,LinearSVR,6,495.7354949125127,7
araucaria,1,0,LinearSVR,6,41.52548591962881,7
suzano,1,0,LinearSVR,6,144.72002153424432,7
diadema,1,0,LinearSVR,6,406.5387032129151,7
tres-lagoas,1,0,LinearSVR,6,67.95050569783346,7
camaragibe,1,0,LinearSVR,6,99.5320768846188,7
dourados,1,0,LinearSVR,6,9345.744007123485,7
cascavel,1,0,LinearSVR,6,6701.11719720551,7
passo-fundo,1,0,LinearSVR,6,777.323710039345,7
sao-joao-de-meriti,1,0,LinearSVR,6,38.595627898610175,7
santa-luzia,1,0,LinearSVR,6,41.820510717646805,7
ponta-grossa,1,0,LinearSVR,6,302.08995376764653,7
cameta,1,0,LinearSVR,6,41.350683136669915,7
contagem,1,0,LinearSVR,6,29285.172949331667,7
parauapebas,1,0,LinearSVR,6,36.90826150957868,7
bage,1,0,LinearSVR,6,43.88753713473281,7
campo-grande,1,0,LinearSVR,6,2502.814959914407,7
vitoria,1,0,LinearSVR,6,31112.952813325715,7
vitoria-de-santo-antao,1,0,LinearSVR,6,101088.04054330713,7
jatai,1,0,LinearSVR,6,10436.436549688133,7
iguatu,1,0,LinearSVR,6,975.8163360256295,7
guaruja,1,0,LinearSVR,6,117.01090980207958,7
alvorada,1,0,LinearSVR,6,202.166026044082,7
timon,1,0,LinearSVR,6,267262.7062731013,7
criciuma,1,0,LinearSVR,6,731.9645420886397,7
ananindeua,1,0,LinearSVR,6,41.64129054269775,7
lages,1,0,LinearSVR,6,722.5273932759394,7
salvador,1,0,LinearSVR,6,41.651687682428644,7
hortolandia,1,0,LinearSVR,6,1929.6241245944207,7
porto-velho,1,0,LinearSVR,6,85.84954164071955,7
carapicuiba,1,0,LinearSVR,6,22079.423440674964,7
santa-barbara-doeste,1,0,LinearSVR,6,793.8256893790887,7
sao-felix-do-xingu,1,0,LinearSVR,6,35356.7614162607,7
bento-goncalves,1,0,LinearSVR,6,1858.0538494700743,7
ribeirao-preto,1,0,LinearSVR,6,1726.8299358048728,7
sao-paulo,1,0,LinearSVR,6,170.78827292729824,7
balneario-camboriu,1,0,LinearSVR,6,36.03707080211965,7
valparaiso-de-goias,1,0,LinearSVR,6,53.17290463456115,7
guarapari,1,0,LinearSVR,6,969.1709043340669,7
varzea-paulista,1,0,LinearSVR,6,129.4819079530543,7
juiz-de-fora,1,0,LinearSVR,6,52.197363495318406,7
rio-branco,1,0,LinearSVR,6,211.05272403085212,7
tangara-da-serra,1,0,LinearSVR,6,44.36789711632973,7
sao-jose,1,0,LinearSVR,6,39.81910491422846,7
porto-alegre,1,0,LinearSVR,6,43.8806993743644,7
rio-grande,1,0,LinearSVR,6,43.129346468843984,7
macapa,1,0,LinearSVR,6,207.1888512622686,7
belo-horizonte,1,0,LinearSVR,6,39.78802540317733,7
ibirite,1,0,LinearSVR,6,350.12955911850503,7
itapevi,1,0,LinearSVR,6,37.905911628974444,7
barbacena,1,0,LinearSVR,6,35.78043972554308,7
santo-antonio-de-jesus,1,0,LinearSVR,6,39.754771449888366,7
araguaina,1,0,LinearSVR,6,48.34902848481737,7
ilheus,1,0,LinearSVR,6,37.2929954623735,7
araraquara,1,0,LinearSVR,6,39.519959721827256,7
arapongas,1,0,LinearSVR,6,1805.5206454844806,7
jacarei,1,0,LinearSVR,6,42.47881893737375,7
rio-das-ostras,1,0,LinearSVR,6,170.01098788759828,7
cambe,1,0,LinearSVR,6,110.25874307271769,7
caxias,1,0,LinearSVR,6,38.534953658317875,7
parnaiba,1,0,LinearSVR,6,39.31159029405217,7
maracanau,1,0,LinearSVR,6,43.71866678875876,7
alagoinhas,1,0,LinearSVR,6,7982.50590854098,7
santana-de-parnaiba,1,0,LinearSVR,6,1175.6286282746692,7
colatina,1,0,LinearSVR,6,141.61694662256295,7
jequie,1,0,LinearSVR,6,47.65432570416267,7
taboao-da-serra,1,0,LinearSVR,6,77212.92002198161,7
sao-caetano-do-sul,1,0,LinearSVR,6,9416.977459829715,7
itapetininga,1,0,LinearSVR,6,109.83751093785396,7
belford-roxo,1,0,LinearSVR,6,710.1428852678241,7
divinopolis,1,0,LinearSVR,6,27769.79210413143,7
osasco,1,0,LinearSVR,6,3999.255656341667,7
braganca-paulista,1,0,LinearSVR,6,537.507991599618,7
joao-pessoa,1,0,LinearSVR,6,41.2621244177488,7
londrina,1,0,LinearSVR,6,93.90458956037108,7
santa-cruz-do-capibaribe,1,0,LinearSVR,6,65.92325820211418,7
catanduva,1,0,LinearSVR,6,9083.612767558208,7
olinda,1,0,LinearSVR,6,884.7348475828111,7
assis,1,0,LinearSVR,6,11077.602429071425,7
itaborai,1,0,LinearSVR,6,138331.6811499676,7
birigui,1,0,LinearSVR,6,3822.5896910718784,7
itabira,1,0,LinearSVR,6,73.30934000613772,7
rio-verde,1,0,LinearSVR,6,214.47719909072424,7
abaetetuba,1,0,LinearSVR,6,19352.074061808384,7
sao-jose-dos-pinhais,1,0,LinearSVR,6,51.877280900040624,7
rio-de-janeiro,1,0,LinearSVR,6,40.65246863807893,7
uruguaiana,1,0,LinearSVR,6,409.8583873689952,7
catalao,1,0,LinearSVR,6,42.20870117778525,7
ourinhos,1,0,LinearSVR,6,45.57305710915655,7
uberlandia,1,0,LinearSVR,6,41.1180020807497,7
pouso-alegre,1,0,LinearSVR,6,162.99766749620346,7
serra,1,0,LinearSVR,6,3811.6596565201494,7
teixeira-de-freitas,1,0,LinearSVR,6,20699.77367210167,7
sao-mateus,1,0,LinearSVR,6,41.99328848150783,7
bacabal,1,0,LinearSVR,6,116.25688927800783,7
mesquita,1,0,LinearSVR,6,41.697736778583234,7
novo-gama,1,0,LinearSVR,6,40.25614215346435,7
acailandia,1,0,LinearSVR,6,3529.1703259967917,7
itaquaquecetuba,1,0,LinearSVR,6,49790.49468809463,7
campinas,1,0,LinearSVR,6,943.0722704582528,7
sete-lagoas,1,0,LinearSVR,6,1561.4012102678641,7
sao-jose-de-ribamar,1,0,LinearSVR,6,29910.769387744902,7
nova-iguacu,1,0,LinearSVR,6,41.3015318099802,7
santa-maria,1,0,LinearSVR,6,80.30712726188484,7
sao-luis,1,0,LinearSVR,6,1980.1241504012635,7
queimados,1,0,LinearSVR,6,40.92384490397106,7
jau,1,0,LinearSVR,6,42.59629980312695,7
franca,1,0,LinearSVR,6,11363.89266531278,7
