cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
poa,1,0,RandomForestRegressor,6,5.663777640555492,19
jaboatao-dos-guararapes,1,0,RandomForestRegressor,6,3.257942455332701,19
juazeiro,1,0,RandomForestRegressor,6,3.3637232000829385,19
itacoatiara,1,0,RandomForestRegressor,6,2258.2974746001446,19
limeira,1,0,RandomForestRegressor,6,6.775399864086415,19
itajai,1,0,RandomForestRegressor,6,3.2889143054607657,19
marituba,1,0,RandomForestRegressor,6,14.702106587191471,19
blumenau,1,0,RandomForestRegressor,6,3.2396714771034483,19
caucaia,1,0,RandomForestRegressor,6,12272.374326456153,19
angra-dos-reis,1,0,RandomForestRegressor,6,3.767902985254867,19
barcarena,1,0,RandomForestRegressor,6,41025.78323602738,19
ribeirao-pires,1,0,RandomForestRegressor,6,314.4021336053482,19
sao-bernardo-do-campo,1,0,RandomForestRegressor,6,267106.0037887201,19
arapiraca,1,0,RandomForestRegressor,6,159.9664155350444,19
passos,1,0,RandomForestRegressor,6,3563.1044723956393,19
paulo-afonso,1,0,RandomForestRegressor,6,24801.626288698055,19
rondonopolis,1,0,RandomForestRegressor,6,1187.5671117935447,19
ituiutaba,1,0,RandomForestRegressor,6,882.9396162533408,19
barueri,1,0,RandomForestRegressor,6,1582.1467268889583,19
lagarto,1,0,RandomForestRegressor,6,5622.779450816907,19
mage,1,0,RandomForestRegressor,6,49.0236514468933,19
sertaozinho,1,0,RandomForestRegressor,6,123933.07122076189,19
vespasiano,1,0,RandomForestRegressor,6,278.9535961499688,19
santos,1,0,RandomForestRegressor,6,64.7347999037951,19
campo-largo,1,0,RandomForestRegressor,6,3.2001089204198525,19
barretos,1,0,RandomForestRegressor,6,605.5813651020258,19
pelotas,1,0,RandomForestRegressor,6,9.72616838850443,19
caruaru,1,0,RandomForestRegressor,6,2507.1571143897163,19
sao-goncalo,1,0,RandomForestRegressor,6,114.01993826931688,19
abreu-e-lima,1,0,RandomForestRegressor,6,3.3069916296062334,19
rio-claro,1,0,RandomForestRegressor,6,3.3790642367602035,19
pinhais,1,0,RandomForestRegressor,6,33.89359640048161,19
macae,1,0,RandomForestRegressor,6,6.17175999408915,19
mossoro,1,0,RandomForestRegressor,6,3.2526913629721936,19
sumare,1,0,RandomForestRegressor,6,169.9506482147358,19
eunapolis,1,0,RandomForestRegressor,6,4.098842262953144,19
araguari,1,0,RandomForestRegressor,6,1761.6644005248734,19
tailandia,1,0,RandomForestRegressor,6,5787.2390809359495,19
palhoca,1,0,RandomForestRegressor,6,34.15288895930601,19
petrolina,1,0,RandomForestRegressor,6,183965.12786819015,19
niteroi,1,0,RandomForestRegressor,6,21.97007306555566,19
marica,1,0,RandomForestRegressor,6,16.843932286954512,19
sobral,1,0,RandomForestRegressor,6,8412807.99610735,19
vilhena,1,0,RandomForestRegressor,6,3.357900270884196,19
araxa,1,0,RandomForestRegressor,6,739983.4085365271,19
leme,1,0,RandomForestRegressor,6,23693.256959268838,19
florianopolis,1,0,RandomForestRegressor,6,2.8880896552657127,19
formosa,1,0,RandomForestRegressor,6,5019.527095527769,19
ariquemes,1,0,RandomForestRegressor,6,6.049981589939238,19
anapolis,1,0,RandomForestRegressor,6,3.180667192090203,19
paragominas,1,0,RandomForestRegressor,6,15.335661447169576,19
botucatu,1,0,RandomForestRegressor,6,504441.2824303305,19
almirante-tamandare,1,0,RandomForestRegressor,6,3.3032164099929116,19
pocos-de-caldas,1,0,RandomForestRegressor,6,3.096265065155246,19
brusque,1,0,RandomForestRegressor,6,1980.1208418150854,19
barra-do-pirai,1,0,RandomForestRegressor,6,19.577940606430072,19
juazeiro-do-norte,1,0,RandomForestRegressor,6,3.4907372318596277,19
teresina,1,0,RandomForestRegressor,6,18603.005174873957,19
teofilo-otoni,1,0,RandomForestRegressor,6,4.938620359057675,19
joinville,1,0,RandomForestRegressor,6,611.9310250108783,19
erechim,1,0,RandomForestRegressor,6,157.22479802819805,19
coronel-fabriciano,1,0,RandomForestRegressor,6,10721.28742181422,19
sao-jose-dos-campos,1,0,RandomForestRegressor,6,4.3934434121799475,19
parintins,1,0,RandomForestRegressor,6,180.29627392011002,19
fortaleza,1,0,RandomForestRegressor,6,378705.6670979232,19
piracicaba,1,0,RandomForestRegressor,6,336487.3231262039,19
ji-parana,1,0,RandomForestRegressor,6,3.2401658655826364,19
ferraz-de-vasconcelos,1,0,RandomForestRegressor,6,7.738711612749622,19
palmas,1,0,RandomForestRegressor,6,16.715989818034604,19
maranguape,1,0,RandomForestRegressor,6,4502.41259736669,19
montes-claros,1,0,RandomForestRegressor,6,3128.2351302517395,19
votorantim,1,0,RandomForestRegressor,6,2167.287681203062,19
marilia,1,0,RandomForestRegressor,6,13.73915864970154,19
castanhal,1,0,RandomForestRegressor,6,14044.54488006223,19
governador-valadares,1,0,RandomForestRegressor,6,2.936535354741881,19
curitiba,1,0,RandomForestRegressor,6,1619.7562558212658,19
uba,1,0,RandomForestRegressor,6,16623.078318186203,19
igarassu,1,0,RandomForestRegressor,6,52.06208882510609,19
itaguai,1,0,RandomForestRegressor,6,19.377521271775553,19
sabara,1,0,RandomForestRegressor,6,3.1359479732889777,19
cotia,1,0,RandomForestRegressor,6,9.292749521579173,19
altamira,1,0,RandomForestRegressor,6,3.2654644940411925,19
camacari,1,0,RandomForestRegressor,6,341.5450644954448,19
cubatao,1,0,RandomForestRegressor,6,3.17507254806875,19
itaituba,1,0,RandomForestRegressor,6,10.197489506316309,19
luziania,1,0,RandomForestRegressor,6,625483.6603513296,19
cabo-frio,1,0,RandomForestRegressor,6,283.06350438056694,19
conselheiro-lafaiete,1,0,RandomForestRegressor,6,668.2105528152726,19
crato,1,0,RandomForestRegressor,6,5.260005234033211,19
paco-do-lumiar,1,0,RandomForestRegressor,6,506.1549717205628,19
araucaria,1,0,RandomForestRegressor,6,3.3032164099929124,19
suzano,1,0,RandomForestRegressor,6,117.65183136564369,19
diadema,1,0,RandomForestRegressor,6,582.5678435696012,19
tres-lagoas,1,0,RandomForestRegressor,6,18.826862285807557,19
camaragibe,1,0,RandomForestRegressor,6,119.84388480770768,19
dourados,1,0,RandomForestRegressor,6,8597.981922206776,19
cascavel,1,0,RandomForestRegressor,6,6648.616835313426,19
