cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
guaratingueta,8,4,LinearSVR,6,45.847032945099436,0
londrina,8,4,LinearSVR,6,355.72895865754634,0
petrolina,8,4,LinearSVR,6,40.67009398833442,0
umuarama,8,4,LinearSVR,6,114.97736522487918,0
brasilia,8,4,LinearSVR,6,416.610087128036,0
juazeiro-do-norte,8,4,LinearSVR,6,21.975396568265033,0
apucarana,8,4,LinearSVR,6,11.711996014283763,0
santa-maria,8,4,LinearSVR,6,5.301568797015339,0
corumba,8,4,LinearSVR,6,36.77593655446358,0
brusque,8,4,LinearSVR,6,1.0653655574078136,0
sinop,8,4,LinearSVR,6,79.56175030984471,0
novo-gama,8,4,LinearSVR,6,34.583866896506244,0
cascavel,8,4,LinearSVR,6,92.45713853393428,0
florianopolis,8,4,LinearSVR,6,1.943204093875126,0
ariquemes,8,4,LinearSVR,6,2.2979073770374256,0
cambe,8,4,LinearSVR,6,80.26906348113826,0
maringa,8,4,LinearSVR,6,160.55438644763404,0
balneario-camboriu,8,4,LinearSVR,6,4.358374482053656,0
vilhena,8,4,LinearSVR,6,12.479954375848852,0
valparaiso-de-goias,8,4,LinearSVR,6,34.6703036278283,0
ponta-grossa,8,4,LinearSVR,6,1.1216792940257858,0
crato,8,4,LinearSVR,6,20.92136252784197,0
arapongas,8,4,LinearSVR,6,5.208156565688814,0
tangara-da-serra,8,4,LinearSVR,6,18.994436757055688,0
vitoria-da-conquista,8,4,LinearSVR,6,53.38559842085008,0
toledo,8,4,LinearSVR,6,66.30200067007834,0
simoes-filho,8,4,LinearSVR,6,8.669961757268798,0
foz-do-iguacu,8,4,LinearSVR,6,320.3151987922654,0
joinville,8,4,LinearSVR,6,105.622247784612,0
