cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
taubate,11,1,RandomForestRegressor,6,14.611650345777177,0
recife,11,1,RandomForestRegressor,6,21.41841697141822,0
santos,11,1,RandomForestRegressor,6,3.939853318558475,0
cabo-frio,11,1,RandomForestRegressor,6,4.176494115913602,0
praia-grande,11,1,RandomForestRegressor,6,3.27202942245034,0
guaruja,11,1,RandomForestRegressor,6,4.663305359353041,0
sabara,11,1,RandomForestRegressor,6,2.8774628646550147,0
rio-das-ostras,11,1,RandomForestRegressor,6,3.0163909006894,0
teixeira-de-freitas,11,1,RandomForestRegressor,6,6.47242489896283,0
sao-bernardo-do-campo,11,1,RandomForestRegressor,6,5.4040270406791215,0
macae,11,1,RandomForestRegressor,6,4.408630511280468,0
cuiaba,11,1,RandomForestRegressor,6,8.021095903924625,0
abreu-e-lima,11,1,RandomForestRegressor,6,1.178799144562941,0
sao-pedro-da-aldeia,11,1,RandomForestRegressor,6,2.765739976561662,0
campos-dos-goytacazes,11,1,RandomForestRegressor,6,2.304640268008111,0
ilheus,11,1,RandomForestRegressor,6,4.382607050363476,0
breves,11,1,RandomForestRegressor,6,0.8607152943738234,0
olinda,11,1,RandomForestRegressor,6,4.558687239529955,0
angra-dos-reis,11,1,RandomForestRegressor,6,9.372996893253278,0
santa-cruz-do-capibaribe,11,1,RandomForestRegressor,6,1.6465711752131114,0
santana-de-parnaiba,11,1,RandomForestRegressor,6,1.5854422022320234,0
araruama,11,1,RandomForestRegressor,6,3.479339684322649,0
ipatinga,11,1,RandomForestRegressor,6,12.065689898043685,0
niteroi,11,1,RandomForestRegressor,6,2.7677724446079868,0
pocos-de-caldas,11,1,RandomForestRegressor,6,1.1192016319683509,0
camaragibe,11,1,RandomForestRegressor,6,3.685858372465045,0
pindamonhangaba,11,1,RandomForestRegressor,6,12.671188657811175,0
uberaba,11,1,RandomForestRegressor,6,9.817843570020855,0
indaiatuba,11,1,RandomForestRegressor,6,5.479843187429994,0
itumbiara,11,1,RandomForestRegressor,6,0.935513985397727,0
salto,11,1,RandomForestRegressor,6,3.4122655558372856,0
osasco,11,1,RandomForestRegressor,6,6.269279168560069,0
franco-da-rocha,11,1,RandomForestRegressor,6,6.536384690978965,0
ferraz-de-vasconcelos,11,1,RandomForestRegressor,6,1.5088569679431483,0
sao-vicente,11,1,RandomForestRegressor,6,2.446052825414772,0
hortolandia,11,1,RandomForestRegressor,6,16.208649605518065,0
sao-goncalo,11,1,RandomForestRegressor,6,9.234162116154277,0
sete-lagoas,11,1,RandomForestRegressor,6,88.3017065684944,0
atibaia,11,1,RandomForestRegressor,6,5.836494883604792,0
